SiteName,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5
SM-04,HOBO-315,HOBO-308,248762,SM-02,HOBO-310
HOBO315,SM-04,HOBO-317,HOBO-308,HOBO-312,248762
HOBO308,SM-04,SM-02,HOBO-310,HOBO-315,HOBO-312
HOBO310,HOBO-312,HOBO-308,HOBO-317,SM-04,HOBO-315
HOBO312,HOBO-317,HOBO-310,HOBO-315,HOBO-308,SM-04
HOBO317,HOBO-312,HOBO-315,HOBO-310,SM-04,HOBO-308
622337,700239,700226,593665,594580,544292
594580,601725,700239,544292,622337,HOBO-357
544292,HOBO-353,HOBO-351,HOBO-357,594580,HOBO-347
700239,622337,594580,700226,593665,544292
601725,594580,544292,647830,700239,HOBO-353
647830,652934,650846,601725,642613,594580
652934,647830,650846,642613,601725,400605
650846,642613,652934,647830,400605,601725
642613,650846,652934,647830,400605,372502
SM-PG,HOBO-347,134101,HOBO-211,HOBO-353,HOBO-335
700226,593665,622337,700239,HOBO-060,HOBO-032
HOBO304,SM-02,268413,SM-01,SM-03,279822
HOBO335,HOBO-211,HOBO-341,HOBO-349,130102,HOBO-351
HOBO053,HOBO-055,SM-05,SM-07,HOBO-063,HOBO-242
SM-05,HOBO-055,HOBO-053,HOBO-063,HOBO-242,SM-07
HOBO063,HOBO-053,SM-09,SM-05,SM-07,HOBO-055
SM-09,HOBO-063,SM-07,HOBO-053,SM-08,SM-05
HOBO265,SM-08,258173,HOBO-317,HOBO-273,HOBO-312
SM-08,HOBO-265,HOBO-270,HOBO-273,SM-09,HOBO-312
HOBO273,HOBO-270,SM-08,HOBO-265,081090,150801
HOBO270,HOBO-273,SM-08,HOBO-265,081090,135431
SM-02,HOBO-308,SM-04,248762,HOBO-304,HOBO-310
SM-01,HOBO-016,SM-03,HOBO-304,HOBO-036,SM-02
HOBO055,SM-05,HOBO-053,HOBO-242,SM-07,HOBO-063
SM-07,HOBO-053,HOBO-063,HOBO-055,SM-05,SM-09
146764,129276,150801,150802,161191,081090
129276,146764,150801,081090,150802,161191
179439,161191,150802,258173,146764,HOBO-317
161191,150802,179439,146764,258173,150801
124031,135431,081090,129276,HOBO-273,150801
081090,150801,135431,129276,146764,HOBO-273
135431,124031,081090,150801,HOBO-273,129276
150802,161191,258173,179439,146764,150801
150801,081090,146764,129276,150802,258173
258173,150802,HOBO-265,179439,161191,HOBO-317
248762,SM-04,252447,HOBO-315,SM-02,HOBO-308
HOBO016,SM-01,SM-03,HOBO-036,HOBO-304,HOBO-014
HOBO036,SM-06,HOBO-242,HOBO-040,HOBO-016,SM-01
HOBO242,HOBO-055,SM-06,SM-05,HOBO-053,HOBO-036
SM-06,HOBO-242,HOBO-036,HOBO-055,SM-05,HOBO-040
HOBO331,HOBO-333,HOBO-233,HOBO-216,HOBO-060,SM-05
HOBO333,HOBO-331,HOBO-216,HOBO-233,HOBO-060,SM-06
HOBO216,HOBO-233,HOBO-333,HOBO-331,HOBO-060,SM-06
HOBO233,HOBO-216,HOBO-333,HOBO-331,HOBO-060,SM-06
SM-03,HOBO-016,HOBO-349,SM-01,HOBO-304,HOBO-345
HOBO349,SM-03,HOBO-335,128101,HOBO-341,130102
307043,335225,301004,357256,292528,361840
292528,378882,307043,357256,364070,335225
378882,292528,307043,357256,364070,335225
134101,SM-PG,HOBO-211,301004,335225,367193
130102,128101,290415,HOBO-335,130101,HOBO-211
128101,130102,279822,130101,290415,HOBO-349
130101,279822,268355,128101,268413,290415
279822,130101,268413,128101,252447,130102
268413,279822,252447,130101,150732,HOBO-304
252447,150732,268413,248762,279822,HOBO-304
HOBO211,HOBO-335,134101,SM-PG,130102,HOBO-347
HOBO341,HOBO-351,HOBO-357,HOBO-353,HOBO-345,HOBO-335
HOBO347,HOBO-353,HOBO-351,SM-PG,HOBO-341,HOBO-211
HOBO357,HOBO-345,HOBO-341,HOBO-351,HOBO-353,544292
HOBO353,HOBO-347,HOBO-351,HOBO-341,HOBO-357,544292
HOBO345,HOBO-357,HOBO-341,HOBO-014,HOBO-351,HOBO-349
HOBO351,HOBO-353,HOBO-341,HOBO-357,HOBO-347,HOBO-345
HOBO032,HOBO-040,HOBO-014,HOBO-036,HOBO-060,SM-06
HOBO014,HOBO-345,HOBO-032,HOBO-357,SM-03,HOBO-040
HOBO040,HOBO-032,HOBO-036,HOBO-060,SM-06,HOBO-014
HOBO060,HOBO-040,HOBO-032,593665,SM-06,HOBO-233
076361,123545,155365,159408,217961,131067
159408,123545,155365,076361,217961,131067
155365,123545,217961,159408,131067,076361
123545,155365,076361,159408,217961,131067
217961,131067,207746,155365,257002,123545
131067,207746,217961,257002,155365,286789
207746,131067,257002,217961,155365,286789
257002,286789,207746,131067,217961,150732
286789,150732,257002,252447,248762,268413
150732,252447,268413,286789,248762,279822
361840,372502,357256,367193,335225,364070
357256,361840,364070,372502,335225,367193
400605,364070,372502,357256,361840,367193
364070,357256,400605,361840,372502,367193
367193,372502,361840,335225,357256,SM-PG
372502,361840,367193,357256,335225,364070
287338,280500,301004,290415,268355,130102
301004,287338,335225,307043,134101,280500
280500,290415,268355,287338,130101,130102
268355,280500,130101,290415,287338,279822
290415,280500,130102,268355,130101,287338
593665,700226,622337,700239,HOBO-060,HOBO-032
335225,361840,307043,367193,301004,357256
